Номер,Название
201600,Группа 3. Комбинаторика
004806,Параллель D. Строки
204405,Группа 5. Интересные задачи 3
202306,Группа 3. Строки
201803,Группа 5. Олимпиадный контест 24.10.19
300515,Олимпиадная информатика-2. Занятие 16. Динамическое программирование. Часть 5. Наибольшая возрастающая подпоследовательность
204404,Группа 5. Интересный контест 2
000013,Осень 2017. 2 тур
500006,Январская школа Летово. День 2. Группа 1. Поиски и сортировки
203021,Группа avdeeva. Функции
204601,Командная олимпиада Letovo
201608,Группа 3. Структуры данных 2
300803,Олимпиадная информатика-5. Занятие 4. Декартово дерево. k-ая порядковая статистика
500004,Майская школа Летово. День 2. Группа 1. Простые структуры данных
202307,Группа 3. Топологическая сортировка и конденсация
203034,Группа avdeeva. Алиса и числа
200500,Параллель D — Условный оператор
202701,Готовимся к региональному этапу 1
203137,8prof. Алгоритм Хаффмана (расширенный список задач)
004502,Параллель A. Интересное дерево отрезков
203037,Группа avdeeva. Бинарные файлы
500013,Template
201705,Группа 4. Переписывание кр
209012,Командная олимпиада в Сириус.Ноябрь.2024 на гексагональном поле
203118,"9-профиль Основы работы с изображениями. Numpy, OpenCV"
202001,Группа 1. Динамическое программирование 1
200112,Итоговый контест
300611,Олимпиадная информатика-3. Занятие 12. LCA
203006,Группа avdeeva. Алгоритм Евклида
200502,Параллель D — Циклы
300801,Олимпиадная информатика-5. Занятие 2. Heavy-light декомпозиция
202406,Группа 4. Корневая декомпозиция
202408,Группа 4. Динамика по поддеревьям
203135,8prof. Пиксельное Кардано
201807,"Группа 5. Бор, Ахо-Корасик"
000012,Осень 2017. 1 тур
203107,Группа ilyin. Функции
205103,Группа ilyin. Цикл for
204403,Группа 5. Потоки минимальной стоимости
203061,8prof. Рекурсивная комбинаторика
004014,Майская школа Летово. День 4. Группа 2. Геометрия
300418,ОИ1-3. Бинпоиск по ответу
202705,Готовимся к региональному этапу 3
300509,Олимпиадная информатика-2. Занятие 10: Графы. Часть 5. Поиск кратчайших путей во взвешенном графе. Алгоритм Дейкстры
205108,Экспертная система
202302,Группа 3. Геометрия. База
201904,Неделя 3. IOI
003921,Майская школа Летово. День 2. Группа 1. Простые структуры данных
201906,Неделя 4. IOI
000016,Весна 2018. 2 тур
204400,Группа 5. Паросочетания
203043,8prof. Модульная арифметика (база)
202511,Группа 5. Ахо-Корасик
300510,Олимпиадная информатика-2. Занятие 11: Графы. Часть 6. Поиск кратчайших путей во взвешенном графе. Алгоритм Флойда-Уоршелла00
201610,Группа 3. Структуры данных 3. Массовые операции в ДО
200403,Группа 1. Динамическое программирование - 2
204408,Группа 5. Суффиксный автомат
000014,Осень 2017. 2 тур. Второй вариант
300603,Олимпиадная информатика-3. Занятие 4. Принадлежность точки выпуклому многоугольнику
300411,ОИ1-2. Бинпоиск-1
004301,Параллель C. Бинарный поиск по ответу
004307,Параллель C. BFS
003203,Дерево отрезков
203023,Группа avdeeva. Summative Criterion B*
202505,Группа 5. Задачечки 2
204606,Готовимся к олимпиадам 3-5 5
300604,Олимпиадная информатика-3. Занятие 5. Строки. Хеши. Часть 1
200607,Группа 3. ДО. Массовые операции
300400,Олимпиадная информатика-1. Занятие 1. Квадратичные сортировки: (Сортировка выбором минимума/максимума. Сортировка пузырьком. Сортировка вставками). Сортировка подсчетом
201611,Группа 3. ДО за 5 минут 2
201707,Группа 4. Корневая декомпозиция + МО
004404,Параллель D. Массивы
203059,8prof. Рекурсивные сортировки
200805,Группа 5. Паросочетания
202720,Готовимся к заключительному этапу 2
201621,Группа 3. Суффиксное дерево для Кости
004809,Параллель D. Сортировки
200541,Группа О-2. Занятие 13. Динамическое программирование. Часть 2. Черепашка на количество путей. Черепашка на минимальный путь. Черепашка с ограничениями
